ActivityID,FileName,SportType,StartDate,StartTime,TotalTime,TotalDistance,TotalCalories
1,20160529_182949.tcx,Running,2016-05-29,18:29:49,1460,3683.95,419
2,20160530_181938.tcx,Running,2016-05-30,18:19:38,1680,4169.46,475
3,20160531_184646.tcx,Running,2016-05-31,18:46:46,1489,3890.36,441
4,20160601_174610.tcx,Running,2016-06-01,17:46:10,1401,3796.07,428
5,20160602_191421.tcx,Running,2016-06-02,19:14:21,1506,3880.34,440
6,20160602_194100.tcx,Other,2016-06-02,19:41:00,423,616.67,54
7,20160603_192211.tcx,Running,2016-06-03,19:22:11,1404,3550.32,403
8,20160603_194718.tcx,Other,2016-06-03,19:47:18,2205,3454.28,325
9,20160605_151602.tcx,Other,2016-06-05,15:16:02,4705,8024.1,806
10,20160607_171715.tcx,Other,2016-06-07,17:17:15,2827,9139.05,978
11,20160608_192003.tcx,Running,2016-06-08,19:20:03,2097,5448.74,618
12,20160611_185330.tcx,Running,2016-06-11,18:53:30,1377,3632.73,411
13,20160614_182814.tcx,Running,2016-06-14,18:28:14,1591,4147.68,470
14,20160618_135255.tcx,Other,2016-06-18,13:52:55,128,413.99,44
15,20160618_144847.tcx,Other,2016-06-18,14:48:47,1118,1878.32,187
16,20160618_185119.tcx,Running,2016-06-18,18:51:19,2526,6476.54,735
17,20160619_124900.tcx,Other,2016-06-19,12:49:00,1273,2011.08,191
18,20160619_183142.tcx,Running,2016-06-19,18:31:42,1594,4065.73,462
19,20160623_175512.tcx,Other,2016-06-23,17:55:12,2006,2137.69,191
20,20160628_194628.tcx,Running,2016-06-28,19:46:28,1532,4059.19,459
21,20160629_190047.tcx,Other,2016-06-29,19:00:47,2249,3049.61,249
22,20160701_192234.tcx,Running,2016-07-01,19:22:34,2383,6200.11,703
23,20160702_075357.tcx,Other,2016-07-02,07:53:57,5761,7799.56,637
24,20160702_185605.tcx,Running,2016-07-02,18:56:05,802,2173.17,245
25,20160702_191008.tcx,Other,2016-07-02,19:10:08,1001,1592.86,152
26,20160707_174734.tcx,Other,2016-07-07,17:47:34,6629,12209.93,1288
27,20160709_131633.tcx,Other,2016-07-09,13:16:33,2102,2104.75,193
28,20160709_160234.tcx,Biking,2016-07-09,16:02:34,8346,31474.98,1351
29,20160710_150426.tcx,Other,2016-07-10,15:04:26,6612,10442.05,797
30,20160712_194324.tcx,Running,2016-07-12,19:43:24,1604,4105.2,466
31,20160713_191843.tcx,Running,2016-07-13,19:18:43,1190,3150.31,357
32,20160715_180305.tcx,Running,2016-07-15,18:03:05,1257,3321.26,376
33,20160728_165150.tcx,Other,2016-07-28,16:51:50,2643,3680.09,310
34,20160803_013347.tcx,Other,2016-08-03,01:33:47,3518,4245.77,358
35,20160804_151506.tcx,Other,2016-08-04,15:15:06,1621,2776.86,280
36,20160806_004346.tcx,Other,2016-08-06,00:43:46,2270,4336.95,466
37,20160829_191848.tcx,Running,2016-08-29,19:18:48,1651,4212.26,478
38,20160903_174842.tcx,Other,2016-09-03,17:48:42,2092,3075.82,273
39,20160911_123127.tcx,Running,2016-09-11,12:31:27,1749,4529.65,514
40,20160915_161058.tcx,Other,2016-09-15,16:10:58,6732,6841.76,623
41,20160925_153627.tcx,Other,2016-09-25,15:36:27,4463,7479.15,742
42,20160927_152425.tcx,Other,2016-09-27,15:24:25,1948,3247.35,321
43,20160927_162915.tcx,Other,2016-09-27,16:29:15,4920,7695.45,723
44,20161001_115428.tcx,Other,2016-10-01,11:54:28,5177,9034.83,923
45,20161001_143124.tcx,Other,2016-10-01,14:31:24,1674,2807.46,279
46,20161002_111740.tcx,Other,2016-10-02,11:17:40,8675,12518.76,1093
47,20170310_134816.tcx,Other,2017-03-10,13:48:16,2766,4592.45,384
48,20170424_141456.tcx,Other,2017-04-24,14:14:56,1157,2087.32,185
49,20170501_105845.tcx,Running,2017-05-01,10:58:45,633,1901.85,177
